,logFC,AveExpr,t,P.Value,adj.P.Val,B
RALGPS2,-1.290907525,5.623305699,-8.536512145,6.14E-15,8.03E-13,23.42674801
ACTR3B,1.316942727,6.377313429,8.523464744,6.65E-15,8.65E-13,23.34860592
FZD4,-1.026654482,4.889329962,-8.513038538,7.09E-15,9.16E-13,23.28619757
ARL9,1.534898059,5.129753756,8.503285414,7.52E-15,9.66E-13,23.22784648
ALDH3B2,-2.822902678,5.996625735,-8.502127938,7.57E-15,9.67E-13,23.22092334
ATOSA,-1.063594564,6.768661847,-8.499940388,7.68E-15,9.74E-13,23.20784016
BCL11A,1.948421361,5.809891398,8.486235504,8.35E-15,1.05E-12,23.12590625
CRYM,-2.23527185,5.151271762,-8.460220211,9.79E-15,1.23E-12,22.97052567
FAIM2,-1.722020388,3.913856443,-8.443574103,1.08E-14,1.35E-12,22.87120806
GEMIN4,0.912100353,6.04753037,8.439899527,1.11E-14,1.37E-12,22.84929499
AKT1,-1.213777634,8.132982133,-8.430316767,1.17E-14,1.45E-12,22.79216765
ELAPOR1,-2.132672892,6.534932428,-8.427782462,1.19E-14,1.46E-12,22.777064
MED24,-1.308852284,5.23541349,-8.426994483,1.20E-14,1.46E-12,22.77236829
MAN2B2,-0.829955364,7.246889286,-8.408327416,1.34E-14,1.62E-12,22.6611816
LOC105376204,1.055272077,4.544575436,8.385944515,1.54E-14,1.85E-12,22.52799917
ALDH4A1,-1.635235234,5.241225034,-8.382060441,1.58E-14,1.88E-12,22.50490347
RHOB,-0.839695907,4.579202465,-8.381863926,1.58E-14,1.88E-12,22.50373506
CD63,-0.605337934,11.74684256,-8.375035444,1.64E-14,1.94E-12,22.46314254
C9orf40,1.013231942,5.619341187,8.364596359,1.75E-14,2.06E-12,22.4011136
IL27RA,1.667275368,5.768383139,8.353752459,1.87E-14,2.19E-12,22.33671409
TNFAIP1,-1.059035027,6.966325842,-8.349258277,1.92E-14,2.24E-12,22.31003456
VIPR1,-1.74051837,5.615524011,-8.348013845,1.94E-14,2.24E-12,22.30264813
LINC00993,-3.211228261,6.53899435,-8.340883712,2.02E-14,2.33E-12,22.26033566
PRTFDC1,2.015491751,6.273819309,8.325170149,2.23E-14,2.55E-12,22.16714099
ZNF639,0.87430079,5.978673799,8.323976246,2.24E-14,2.55E-12,22.16006322
CMBL,-0.993959112,7.08700963,-8.319550652,2.30E-14,2.61E-12,22.13383093
ZMYND8,-0.895167277,6.4589748,-8.317912001,2.33E-14,2.62E-12,22.1241195
ZHX1-C8orf76,1.147544277,4.95293574,8.315875538,2.35E-14,2.64E-12,22.11205159
MAP3K21,1.641042662,5.663253965,8.301889318,2.56E-14,2.85E-12,22.02920478
FMO5,-1.489893216,3.912381731,-8.296315493,2.65E-14,2.94E-12,21.9962052
IL13RA1,-1.132131787,7.733296322,-8.278980955,2.94E-14,3.24E-12,21.89363808
CDK18,1.375497738,5.381666571,8.276089915,3.00E-14,3.27E-12,21.87654107
CATSPERB,-1.35134274,4.358880131,-8.275961511,3.00E-14,3.27E-12,21.87578177
PALS2,1.236519053,4.147643044,8.269617969,3.12E-14,3.38E-12,21.83827669
B3GNT5,1.10952313,5.112779394,8.260344635,3.30E-14,3.55E-12,21.78347223
LINC01091,-1.292566254,2.902288845,-8.251787641,3.47E-14,3.72E-12,21.73292501
TTC22,0.846311002,3.232767097,8.248312068,3.54E-14,3.78E-12,21.71240089
SDR16C5,-3.428667941,5.599551526,-8.233958269,3.87E-14,4.10E-12,21.62767821
ELF5,3.005045246,5.342128175,8.232149705,3.91E-14,4.13E-12,21.61700781
ARHGAP32,-1.266448172,5.976642724,-8.212267558,4.41E-14,4.63E-12,21.49977245
TM7SF2,-1.70409894,6.384370203,-8.205611733,4.59E-14,4.80E-12,21.46055414
BLTP2,-0.998546043,7.087634734,-8.194454034,4.90E-14,5.09E-12,21.39484077
SYNM,2.164389489,7.533545709,8.193925729,4.92E-14,5.09E-12,21.39173029
CYP39A1,1.579970889,4.556025194,8.193300579,4.94E-14,5.09E-12,21.38804973
CREB3L4,-1.599167566,8.269178528,-8.191796201,4.98E-14,5.11E-12,21.37919326
SLC44A4,-2.45519415,5.029955735,-8.190952008,5.01E-14,5.11E-12,21.37422369
PRRT3-AS1,1.355774388,5.586604965,8.190316671,5.03E-14,5.11E-12,21.37048376
USP1,0.942576312,9.143682419,8.187342557,5.12E-14,5.17E-12,21.35297827
SLC7A8,-1.138474861,5.466921054,-8.184935553,5.19E-14,5.22E-12,21.33881281
AMD1,0.886868933,8.007943374,8.179341049,5.37E-14,5.38E-12,21.30589574
HAPLN3,1.266103565,6.96616475,8.176802093,5.45E-14,5.43E-12,21.29096026
KLHL21,1.161229282,6.934343615,8.173015172,5.58E-14,5.53E-12,21.26868741
XPO5,0.726551394,6.951339539,8.168581733,5.73E-14,5.65E-12,21.24261789
TP53BP2,0.984602569,7.580728999,NA,5.77E-14,5.67E-12,21.23570011
RAVER2,0.904973605,4.083024675,8.164298832,5.88E-14,5.75E-12,21.21743952
KMO,-1.872825124,5.766955279,-8.148966258,6.45E-14,6.27E-12,NA
SCML2,0.869518487,6.598582446,8.144847109,6.61E-14,6.40E-12,21.10316056
PHLDB2,NA,4.044794485,-8.139515129,6.83E-14,6.58E-12,21.0718564
DNPH1,0.731164688,6.030821391,8.13786886,6.89E-14,6.61E-12,21.06219298
POLH,0.722778504,4.884513445,8.136799124,6.94E-14,6.62E-12,21.05591421
SLC40A1,-1.566454613,NA,-8.135673146,6.99E-14,6.64E-12,21.04930573
ASH1L-AS1,0.897360638,6.540919178,8.127231882,7.35E-14,6.95E-12,20.99977615
CTPS1,0.898788351,6.841020651,8.116209116,7.85E-14,7.39E-12,20.9351342
ATP8B1,-0.84088279,8.231927562,-8.101068398,8.60E-14,8.06E-12,20.84640726
CENPW,1.356046025,7.918172979,8.081896969,9.64E-14,8.98E-12,20.73416707
CEACAM7,-1.156176082,3.12905333,-8.081509079,9.67E-14,8.98E-12,20.73189739
FAM241A,-1.537242586,7.919341075,-8.077310434,9.91E-14,9.17E-12,20.70733279
NEK5,-1.66112788,4.423980926,-8.071624395,1.03E-13,9.45E-12,20.67407527
SRCIN1,-1.147516188,3.517495587,-8.055829601,1.13E-13,1.03E-11,20.58174773
MCM2,1.047318944,7.871349284,8.04714328,1.19E-13,1.08E-11,20.53100746
STARD7,0.659199202,9.659103336,8.031149625,1.31E-13,1.19E-11,20.43764755
PRICKLE2,-1.347418099,6.535712043,-8.030252243,1.31E-13,1.19E-11,20.43241178
PRKX,1.233982029,6.291798133,8.028576088,1.33E-13,1.20E-11,20.42263297
TMEM38B,1.118078058,5.655239509,8.02351806,1.37E-13,1.23E-11,20.39312973
