"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"COL5A2",3.52095680107256,9.70198362822422,9.96777887284424,7.45800310916316e-19,6.63411686825774e-17,32.1863048926992,"Upregulated"
"LPL",3.51046410868565,6.37501102960566,7.90492683048746,2.76941961895441e-13,1.01488502409394e-11,19.5499863125893,"Upregulated"
"GJA1",3.51037377728133,9.93721930217336,8.80284269787087,1.18901890704245e-15,6.68903474326716e-14,24.9138063572045,"Upregulated"
"IL2RB",3.50024894008078,6.13039384262314,10.6308554354515,1.0043035199542e-20,1.10024093514982e-18,36.4398573884564,"Upregulated"
"SLA",3.49294231125433,6.36367944861773,16.6682608812461,4.12753327863246e-38,3.1820224146198e-35,76.0087711286335,"Upregulated"
"TXNIP",3.48457970785566,9.79790059550996,11.4792476236572,3.75239874368117e-23,5.57901284640882e-21,41.9630478094873,"Upregulated"
"CCL2",3.48101577520914,7.11886719235466,9.28186059914292,5.9378627027482e-17,4.02594827875256e-15,27.8676921322166,"Upregulated"
"IGKC",3.46800577313064,6.20200051631335,9.49050147049095,1.58362639581945e-17,1.16890721379368e-15,29.1711483896036,"Upregulated"
"GREM1",3.42383743493029,7.00947891866557,8.54524476275921,5.81733991996015e-15,2.92482923753552e-13,23.3501173056615,"Upregulated"
"MS4A4A",3.42128546955895,5.67999290881388,13.7342683239047,1.09549236233811e-29,3.35333434148054e-27,56.8394587064934,"Upregulated"
"VCAN",3.39103698536398,9.31413413947823,9.49884744530164,1.50179459065259e-17,1.11642337158692e-15,29.2234846371297,"Upregulated"
"EGFL6",3.38557310020937,6.34342070762555,9.76420729571062,2.75981573021289e-18,2.25276723232868e-16,30.8949134415061,"Upregulated"
"ARHGAP15",3.37694964055854,5.70550982095343,12.0978825110052,6.14152874051168e-25,1.15167496156532e-22,46.0283059107728,"Upregulated"
"HLA-DQB1",3.35760977843663,6.75543927996178,12.5401411871573,3.21050478422074e-26,6.81904664117904e-24,48.9461453781101,"Upregulated"
"PTPRC",3.33514538049983,5.68271971040806,12.9155920284344,2.61070096299234e-27,6.03797117163173e-25,51.4273265354329,"Upregulated"
"HCK",3.32989502412401,6.30257894770881,12.9824951512759,1.66906041670475e-27,4.0872344204364e-25,51.8696637595006,"Upregulated"
"GZMA",3.32302565803368,5.88749890048365,7.95154223648474,2.09967811176762e-13,7.860575520943e-12,19.8221000998767,"Upregulated"
"FCGR3B",3.31378669747551,5.81020271751011,13.8712466154848,4.38765833260725e-30,1.42701731551906e-27,57.744143490109,"Upregulated"
"MS4A6A",3.28811900245034,6.10310805057193,15.2119347164482,5.8715920046402e-34,2.90993303753776e-31,66.5610595885911,"Upregulated"
"NKG7",3.28715694705153,4.94361459153559,8.18261695612839,5.26725970792858e-14,2.23295337720027e-12,21.1818631107139,"Upregulated"
"CD74",3.25899199219592,7.23056513424684,15.5575316062642,5.98433497382836e-35,3.19394698667275e-32,68.8177942895175,"Upregulated"
"F13A1",3.24530816102185,7.10109670371773,9.7454961524991,3.11135217773223e-18,2.51018587517428e-16,30.7766018765605,"Upregulated"
"ACP5",3.24162835165531,7.35129531447605,10.2652572079693,1.08848302852374e-19,1.05872776816457e-17,34.0862944241406,"Upregulated"
"A2M",3.24152165015339,7.0845893288088,20.9782898396104,7.25737555215074e-50,3.02124544236035e-46,102.691968816831,"Upregulated"
"APOC1",3.24021837896871,8.08779090630865,13.3441633505228,1.4862835711619e-28,3.91607500427026e-26,54.2610981598357,"Upregulated"
"MMP9",3.24003193852436,8.19448334358748,7.92750263771731,2.42213278600708e-13,9.03524981016799e-12,19.6816765862559,"Upregulated"
"GIMAP6",3.20983850060833,6.03794685289676,15.6055204690474,4.36094374281554e-35,2.45332551369474e-32,69.130504201003,"Upregulated"
"IGLV@",3.20272829916883,6.47333819092986,6.99509529107107,5.25367559178701e-11,1.18981819399372e-09,14.4032718048587,"Upregulated"
"AIF1",3.19797809372377,5.74278170424569,15.6645172868277,2.95607764512416e-35,1.80972812303704e-32,69.514715725006,"Upregulated"
"BCL11A",3.18941656794821,5.80989139783894,9.71436773137229,3.79761059422823e-18,3.05201793509115e-16,30.5799239904613,"Upregulated"
"CCR5",3.18660865620856,6.55047456914922,10.928179535243,1.42808714843643e-21,1.75891325412452e-19,38.3668249804581,"Upregulated"
"IFI27",3.17847618477583,9.93054172249281,6.97448580857435,5.89418683879782e-11,1.31216576523611e-09,14.2906232548733,"Upregulated"
"CLEC5A",3.17188805621986,4.66752528089475,9.42547206233255,2.39319509614461e-17,1.71773641125e-15,28.7638666425299,"Upregulated"
"LINC01614",3.16114019282556,6.11952835282319,9.69745256443225,4.23169908145822e-18,3.36853458528405e-16,30.4731279579799,"Upregulated"
"IL32",3.15707294592369,6.87795404349027,6.92432320145002,7.79287189613314e-11,1.67570897229351e-09,14.0172293413694,"Upregulated"
"COL1A1",3.15673337845253,8.91553085145895,14.4841807855383,7.36355525141243e-32,3.00534122663039e-29,61.785214739245,"Upregulated"
"CD2",3.09859265454675,6.90550230354096,8.03138849890484,1.30459976252574e-13,5.01945361496733e-12,20.2899330272058,"Upregulated"
"GPM6B",3.09280500527844,6.20056914655077,12.5899716176429,2.3014285860804e-26,5.04255115992247e-24,49.2752938219125,"Upregulated"
"COMP",3.07586823968096,6.73051530905817,6.23575924778486,3.21025820110568e-09,4.73575651708113e-08,10.3841337808891,"Upregulated"
"CD8A",3.06638754256187,5.39668903763421,7.57844470054764,1.88521698956441e-12,5.89201075642392e-11,17.6660079264042,"Upregulated"
"CCR1",3.06163525108752,6.21001567923718,13.8456097081398,5.20704712108892e-30,1.66745670500717e-27,57.574856670003,"Upregulated"
"PLA2G7",3.03466516175785,6.00957908101012,9.52548269399033,1.26774791380329e-17,9.49540961006892e-16,29.3906077392779,"Upregulated"
"CD3D",3.02836203584686,6.44670526557194,9.03342508673746,2.82902682847013e-16,1.74219507202976e-14,26.3286118235297,"Upregulated"
"S100A1",3.02005279956526,5.72642560845987,6.26020238167145,2.82416173871428e-09,4.22609105617093e-08,10.5090782429828,"Upregulated"
"TFEC",2.99332702868007,4.7151561484285,11.9702300163062,1.43744845287682e-24,2.53563470734161e-22,45.1876115181986,"Upregulated"
"GBP5",2.9822114635239,5.42281268781939,7.73965349451169,7.34674121564719e-13,2.51517135532395e-11,18.5914023650577,"Upregulated"
"APLNR",2.98180832064824,5.33569949787079,11.0227009180053,7.66580682763616e-22,9.61227524802691e-20,38.9815510119154,"Upregulated"
